,0,1,2,3
0,0.5296679161211492,0.5904899999999977,0.49624025311046227,0.5267181165863857
1,0.0,0.0,0.6213340644457751,0.05279523616828222
5,0.0,0.0,0.0,0.0
4,0.587479741446937,0.6560999999999979,0.0,0.5275441782327228
2,0.0,0.7229094488800465,0.0,0.15467661812152178
6,0.0,0.8099682531167148,0.0,0.20156419453257896
7,0.0,0.0,0.0,0.0
3,0.039604007942093775,0.0,0.0,0.0
10,0.7272461071416157,0.899999999999999,0.0,0.7214718849390362
11,0.0,0.0,0.0,0.0
8,0.6512649440794612,0.0,0.7289999999999983,0.5843822712670781
12,0.0,0.0,0.0,0.0
9,0.6545937104370186,0.6532407499426339,0.8099999999999987,0.0
13,0.0,0.22512295824856002,0.17099999999999993,0.7289886345519707
14,0.6504165907354943,0.8989383363195175,0.9999999999999996,0.8072607353189045
15,0.0,0.0,0.0,0.0
